YEAR,MONTH,DAY,HOUR,VALUE
2020,2,3,8,48.0
2020,2,3,9,51.0
2020,2,3,10,48.0
2020,2,3,11,54.0
2020,2,3,12,57.0
2020,2,3,13,58.0
2020,2,3,14,61.0
2020,2,3,15,61.0
2020,2,3,16,65.0
2020,2,3,17,69.0
2020,2,3,18,63.0
2020,2,3,19,63.0
2020,2,3,20,71.0
2020,2,3,21,60.0
2020,2,3,22,68.0
2020,2,3,23,56.0
2020,2,4,0,48.0
2020,2,4,1,41.0
2020,2,4,2,44.0
2020,2,4,3,41.0
2020,2,4,4,31.0
2020,2,4,5,37.0
2020,2,4,6,34.0
2020,2,4,7,34.0
2020,2,4,8,57.0
2020,2,4,9,65.0
2020,2,4,10,69.0
2020,2,4,11,94.0
2020,2,4,12,93.0
2020,2,4,13,80.0
2020,2,4,14,90.0
2020,2,4,15,95.0
2020,2,4,16,97.0
2020,2,4,17,93.0
2020,2,4,18,89.0
2020,2,4,19,68.0
2020,2,4,20,49.0
2020,2,4,21,45.0
2020,2,4,22,55.0
2020,2,4,23,42.0
2020,2,5,0,26.0
2020,2,5,1,23.0
2020,2,5,2,18.0
2020,2,5,3,22.0
2020,2,5,4,29.0
2020,2,5,5,21.0
2020,2,5,6,34.0
2020,2,5,7,61.0
2020,2,5,8,74.0
2020,2,5,9,77.0
2020,2,5,10,57.0
2020,2,5,11,49.0
2020,2,5,12,45.0
2020,2,5,13,47.0
2020,2,5,14,38.0
2020,2,5,15,44.0
2020,2,5,16,56.0
2020,2,5,17,59.0
2020,2,5,18,54.0
2020,2,5,19,77.0
2020,2,5,20,101.0
2020,2,5,21,107.0
2020,2,5,22,84.0
2020,2,5,23,77.0
2020,2,6,0,67.0
2020,2,6,1,69.0
2020,2,6,2,60.0
2020,2,6,3,39.0
2020,2,6,4,43.0
2020,2,6,5,35.0
2020,2,6,6,42.0
2020,2,6,7,67.0
2020,2,6,8,67.0
2020,2,6,9,60.0
2020,2,6,10,53.0
2020,2,6,11,42.0
2020,2,6,12,47.0
2020,2,6,13,45.0
2020,2,6,14,51.0
2020,2,6,15,51.0
2020,2,6,16,60.0
2020,2,6,17,74.0
2020,2,6,18,76.0
2020,2,6,19,82.0
2020,2,6,20,88.0
2020,2,6,21,91.0
2020,2,6,22,91.0
2020,2,6,23,78.0
